image_name,invoice_id,customer_id,billing_address,shipping_address,date,due_date,product,amount,subtotal,tax_due,total
invoice_0001_page1.png,#: 1001,D: CUST-845,"Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801","Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801 407-555-4466",2025-06-13,2025-07-13,IT Infrastructure Assessment,600.00,2410.00,150.62,S2560.62
invoice_0001_page1.png,#: 1001,D: CUST-845,"Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801","Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801 407-555-4466",2025-06-13,2025-07-13,Cloud Email Configuration,110.00,2410.00,150.62,S2560.62
invoice_0001_page1.png,#: 1001,D: CUST-845,"Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801","Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801 407-555-4466",2025-06-13,2025-07-13,Inventory Management System,1250.00,2410.00,150.62,S2560.62
invoice_0001_page1.png,#: 1001,D: CUST-845,"Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801","Isabella Rivera Rivera Communications 1919 Comms Dr Orlando, FL 32801 407-555-4466",2025-06-13,2025-07-13,API Integration,450.00,2410.00,150.62,S2560.62
invoice_0002_page1.png,+:1002,): CUST-100,"Ava Walker Walker Strategies 1111 Union Square Boston, MA 02108 617-555-7890",,2025-07-08,2025-08-07,UXIUI Consulting,320.00,705.00,24.06,S729.06
invoice_0002_page1.png,+:1002,): CUST-100,"Ava Walker Walker Strategies 1111 Union Square Boston, MA 02108 617-555-7890",,2025-07-08,2025-08-07,Router Configuration,45.00,705.00,24.06,S729.06
invoice_0002_page1.png,+:1002,): CUST-100,"Ava Walker Walker Strategies 1111 Union Square Boston, MA 02108 617-555-7890",,2025-07-08,2025-08-07,Monthly Website Maintenance,90.00,705.00,24.06,S729.06
invoice_0003_page1.png,+:1003,): CUST-930,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-06-17,2025-07-17,Content Management Training,200.00,2074.00,117.12,S2191.12
invoice_0003_page1.png,+:1003,): CUST-930,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-06-17,2025-07-17,Web Hosting (1 Year),120.00,2074.00,117.12,S2191.12
invoice_0003_page1.png,+:1003,): CUST-930,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-06-17,2025-07-17,Cloud Migration Service,1200.00,2074.00,117.12,S2191.12
invoice_0003_page1.png,+:1003,): CUST-930,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-06-17,2025-07-17,Software Maintenance Plan,399.00,2074.00,117.12,S2191.12
invoice_0003_page1.png,+:1003,): CUST-930,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-06-17,2025-07-17,Antivirus Installation,35.00,2074.00,117.12,S2191.12
invoice_0003_page1.png,+:1003,): CUST-930,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-06-17,2025-07-17,Remote Desktop Setup,120.00,2074.00,117.12,S2191.12
invoice_0004_page1.png,t 1004,): CUST-635,"Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543","Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543",2025-08-11,2025-09-10,Inventory Management System,1250.00,3699.00,231.19,S3930.19
invoice_0004_page1.png,t 1004,): CUST-635,"Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543","Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543",2025-08-11,2025-09-10,Cloud Migration Service,1200.00,3699.00,231.19,S3930.19
invoice_0004_page1.png,t 1004,): CUST-635,"Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543","Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543",2025-08-11,2025-09-10,Firewall Setup,250.00,3699.00,231.19,S3930.19
invoice_0004_page1.png,t 1004,): CUST-635,"Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543","Emily Johnson Johnson Tech 303 Innovation Blvd Austin, TX 73301 512-555-6543",2025-08-11,2025-09-10,E-commerce Website Setup,999.00,3699.00,231.19,S3930.19
invoice_0005_page1.png,t1005,): CUST-601,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-04-09,2025-05-09,IT Support (per hour),60.00,223.00,13.94,S236.94
invoice_0005_page1.png,t1005,): CUST-601,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-04-09,2025-05-09,Antivirus Installation,35.00,223.00,13.94,S236.94
invoice_0005_page1.png,t1005,): CUST-601,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-04-09,2025-05-09,WordPress Installation,79.00,223.00,13.94,S236.94
invoice_0005_page1.png,t1005,): CUST-601,"Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105","Jane Smith Smith Consulting 202 Market Ave San Francisco, CA 94105 415-555-9876",2025-04-09,2025-05-09,Cloud Storage 1OOGB,49.00,223.00,13.94,S236.94
invoice_0006_page1.png,#.1006,:CUST-631,"Sophia Clark Clark Design Studio 909 Art District Portland, OR 97209 503-555-5566",,2025-08-26,2025-09-25,Online Security Assessment,400.00,1429.00,83.75,S1512.75
invoice_0006_page1.png,#.1006,:CUST-631,"Sophia Clark Clark Design Studio 909 Art District Portland, OR 97209 503-555-5566",,2025-08-26,2025-09-25,Custom Logo Design,89.00,1429.00,83.75,S1512.75
invoice_0006_page1.png,#.1006,:CUST-631,"Sophia Clark Clark Design Studio 909 Art District Portland, OR 97209 503-555-5566",,2025-08-26,2025-09-25,IT Support (per hour),60.00,1429.00,83.75,S1512.75
invoice_0006_page1.png,#.1006,:CUST-631,"Sophia Clark Clark Design Studio 909 Art District Portland, OR 97209 503-555-5566",,2025-08-26,2025-09-25,Load Balancer Configuration,390.00,1429.00,83.75,S1512.75
invoice_0006_page1.png,#.1006,:CUST-631,"Sophia Clark Clark Design Studio 909 Art District Portland, OR 97209 503-555-5566",,2025-08-26,2025-09-25,Mobile Responsiveness Fix,240.00,1429.00,83.75,S1512.75
invoice_0007_page1.png,#.1007,J: CUST-741,"Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110","Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110 408-555-2211",2025-07-24,2025-08-23,SEO Optimization,299.00,494.99,12.25,S507.24
invoice_0007_page1.png,#.1007,J: CUST-741,"Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110","Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110 408-555-2211",2025-07-24,2025-08-23,SEO Optimization,299.00,494.99,12.25,S507.24
invoice_0007_page1.png,#.1007,J: CUST-741,"Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110","Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110 408-555-2211",2025-07-24,2025-08-23,Domain Registration,15.99,494.99,12.25,S507.24
invoice_0007_page1.png,#.1007,J: CUST-741,"Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110","Lucas Carter Carter Al Labs 2020 Al Plaza San Jose, CA 95110 408-555-2211",2025-07-24,2025-08-23,Network Cable Installation,180.00,494.99,12.25,S507.24
invoice_0008_page1.png,*:1008,): CUST-513,"Mia Young Young Tech Services 1313 Main Street Phoenix, AZ 85001 602-555-4521",,2025-07-03,2025-08-02,Mobile Responsiveness Fix,240.00,2140.00,86.88,S2226.88
invoice_0008_page1.png,*:1008,): CUST-513,"Mia Young Young Tech Services 1313 Main Street Phoenix, AZ 85001 602-555-4521",,2025-07-03,2025-08-02,Mobile Responsiveness Fix,240.00,2140.00,86.88,S2226.88
invoice_0008_page1.png,*:1008,): CUST-513,"Mia Young Young Tech Services 1313 Main Street Phoenix, AZ 85001 602-555-4521",,2025-07-03,2025-08-02,Website Redesign,750.00,2140.00,86.88,S2226.88
invoice_0008_page1.png,*:1008,): CUST-513,"Mia Young Young Tech Services 1313 Main Street Phoenix, AZ 85001 602-555-4521",,2025-07-03,2025-08-02,On-site Technician Visit,90.00,2140.00,86.88,S2226.88
invoice_0008_page1.png,*:1008,): CUST-513,"Mia Young Young Tech Services 1313 Main Street Phoenix, AZ 85001 602-555-4521",,2025-07-03,2025-08-02,Cloud Resource Optimization,880.00,2140.00,86.88,S2226.88
invoice_0008_page1.png,*:1008,): CUST-513,"Mia Young Young Tech Services 1313 Main Street Phoenix, AZ 85001 602-555-4521",,2025-07-03,2025-08-02,Office 365 Setup,180.00,2140.00,86.88,S2226.88
